artist,artist_followers,artist_popularity,duration_ms,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track,win/loss,annualGrammy,GrammyYear
Thirty Seconds To Mars,1999548,73,185466,9.16E-05,https://api.spotify.com/v1/audio-analysis/6FT9FZccFD6nE8dMNslz2n,0.495,185467,0.787,6FT9FZccFD6nE8dMNslz2n,0,8,0.167,-6.89,1,0.0368,140.003,4,https://api.spotify.com/v1/tracks/6FT9FZccFD6nE8dMNslz2n,audio_features,spotify:track:6FT9FZccFD6nE8dMNslz2n,0.388,296,92,69,4/6/18,2001,6FT9FZccFD6nE8dMNslz2n,Walk On,Walk On Water,1,44,2002
Lady Antebellum,2248017,70,277573,0.0927,https://api.spotify.com/v1/audio-analysis/11EX5yhxr9Ihl3IN1asrfK,0.587,277573,0.622,11EX5yhxr9Ihl3IN1asrfK,0.000636,4,0.2,-5.535,1,0.0303,107.943,4,https://api.spotify.com/v1/tracks/11EX5yhxr9Ihl3IN1asrfK,audio_features,spotify:track:11EX5yhxr9Ihl3IN1asrfK,0.231,295,97,64,1/1/10,2010,11EX5yhxr9Ihl3IN1asrfK,Need You Now,Need You Now,1,53,2011
Kim Carnes,83158,62,228000,0.0204,https://api.spotify.com/v1/audio-analysis/0odIT9B9BvOCnXfS0e4lB5,0.675,228000,0.649,0odIT9B9BvOCnXfS0e4lB5,0,5,0.0959,-10.271,1,0.0319,116.624,4,https://api.spotify.com/v1/tracks/0odIT9B9BvOCnXfS0e4lB5,audio_features,spotify:track:0odIT9B9BvOCnXfS0e4lB5,0.596,285,97,72,1/1/81,1981,0odIT9B9BvOCnXfS0e4lB5,Bette Davis Eyes,Bette Davis Eyes,1,24,1982
Bobby Darin,170043,62,184333,0.76,https://api.spotify.com/v1/audio-analysis/0YTgZJfVLmJ0b8XAMZKRKg,0.549,184333,0.529,0YTgZJfVLmJ0b8XAMZKRKg,0,3,0.206,-12.291,0,0.108,82.755,4,https://api.spotify.com/v1/tracks/0YTgZJfVLmJ0b8XAMZKRKg,audio_features,spotify:track:0YTgZJfVLmJ0b8XAMZKRKg,0.464,279,136,56,11/23/04,1959,0YTgZJfVLmJ0b8XAMZKRKg,Mack The Knife,Mack The Knife,1,2,1960
Captain & Tennille,104776,54,205493,0.367,https://api.spotify.com/v1/audio-analysis/4pCNJwixy2ImFncaPY2yE2,0.63,205493,0.777,4pCNJwixy2ImFncaPY2yE2,0,4,0.318,-4.337,1,0.0312,129.619,4,https://api.spotify.com/v1/tracks/4pCNJwixy2ImFncaPY2yE2,audio_features,spotify:track:4pCNJwixy2ImFncaPY2yE2,0.928,267,95,55,1/1/75,1975,4pCNJwixy2ImFncaPY2yE2,Love Will Keep Us Together,Love Will Keep Us Together,1,18,1976
Christopher Cross,240895,64,256146,0.364,https://api.spotify.com/v1/audio-analysis/6Hu6dzwlvoyg3zBUC8k4BK,0.469,256147,0.382,6Hu6dzwlvoyg3zBUC8k4BK,0.00025,2,0.36,-13.203,1,0.0374,149.994,4,https://api.spotify.com/v1/tracks/6Hu6dzwlvoyg3zBUC8k4BK,audio_features,spotify:track:6Hu6dzwlvoyg3zBUC8k4BK,0.178,252,82,64,1979,1980,6Hu6dzwlvoyg3zBUC8k4BK,Sailing,Sailing,1,23,1981
The Doobie Brothers,667180,69,223866,0.284,https://api.spotify.com/v1/audio-analysis/2yBVeksU2EtrPJbTu4ZslK,0.758,223867,0.378,2yBVeksU2EtrPJbTu4ZslK,0,8,0.049,-15.308,0,0.0449,120.736,4,https://api.spotify.com/v1/tracks/2yBVeksU2EtrPJbTu4ZslK,audio_features,spotify:track:2yBVeksU2EtrPJbTu4ZslK,0.985,246,98,64,1978,1979,2yBVeksU2EtrPJbTu4ZslK,What A Fool Believes,What A Fool Believes,1,22,1980
Domenico Modugno,58481,50,216373,0.987,https://api.spotify.com/v1/audio-analysis/006Ndmw2hHxvnLbJsBFnPx,0.518,216373,0.06,006Ndmw2hHxvnLbJsBFnPx,7.87E-06,10,0.161,-14.887,1,0.0441,127.87,4,https://api.spotify.com/v1/tracks/006Ndmw2hHxvnLbJsBFnPx,audio_features,spotify:track:006Ndmw2hHxvnLbJsBFnPx,0.336,244,108,34,2/28/08,1958,006Ndmw2hHxvnLbJsBFnPx,Nel Blu Dipinto Di Blu (Volare),Nel blu dipinto di blu,1,1,1959
Amy Winehouse,5145466,79,166960,0.25,https://api.spotify.com/v1/audio-analysis/7F5rIyOI88zk36AiBXC8xq,0.696,166960,0.616,7F5rIyOI88zk36AiBXC8xq,4.35E-06,9,0.107,-5.144,0,0.047,138.059,4,https://api.spotify.com/v1/tracks/7F5rIyOI88zk36AiBXC8xq,audio_features,spotify:track:7F5rIyOI88zk36AiBXC8xq,0.66,220,77,61,1/1/11,1964,7F5rIyOI88zk36AiBXC8xq,The Girl From Ipanema,The Girl From Ipanema,1,7,1965
Shawn Colvin,51672,53,264200,0.344,https://api.spotify.com/v1/audio-analysis/4mOxpj82q6n3EO7HBZCelX,0.554,264200,0.58,4mOxpj82q6n3EO7HBZCelX,0.00842,11,0.0989,-8.05,0,0.0322,167.83,4,https://api.spotify.com/v1/tracks/4mOxpj82q6n3EO7HBZCelX,audio_features,spotify:track:4mOxpj82q6n3EO7HBZCelX,0.402,220,94,62,9/26/96,1997,4mOxpj82q6n3EO7HBZCelX,Sunny Came Home,Sunny Came Home,1,40,1998
Sam Smith,7340637,90,172723,0.588,https://api.spotify.com/v1/audio-analysis/5Nm9ERjJZ5oyfXZTECKmRt,0.418,172724,0.42,5Nm9ERjJZ5oyfXZTECKmRt,6.39E-05,0,0.11,-6.444,1,0.0414,84.094,4,https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt,audio_features,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,0.184,214,73,83,1/1/14,2014,5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,Stay With Me,1,57,2015
