album_url,artist,artist_followers,artist_image_url_l,artist_image_url_s,artist_popularity,duration_ms,features.acousticness,features.analysis_url,features.danceability,features.duration_ms,features.energy,features.id,features.instrumentalness,features.key,features.liveness,features.loudness,features.mode,features.speechiness,features.tempo,features.time_signature,features.track_href,features.type,features.uri,features.valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track,win/loss
https://i.scdn.co/image/8351a630c907a985143102b9466f4d2dab27ae9e,Lukas Graham,1047454,https://i.scdn.co/image/c0f02e904a8099cdf4af1cdb4a15cb902c81a10e,https://i.scdn.co/image/54afcdf6fba9a30e28362815956a96b3cd547c55,82,237300,0.287,https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk,0.765,237300,0.473,5kqIPrATaCc2LqxVWzQGbk,0.0,10,0.391,-5.829,1,0.0514,119.992,4,https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk,audio_features,spotify:track:5kqIPrATaCc2LqxVWzQGbk,0.34,513,185,79,2016-04-01,2016,5kqIPrATaCc2LqxVWzQGbk,7 Years,7 Years,1
https://i.scdn.co/image/bdf589913b67462ad4711e248fb745f6b0ab6dfb,Carrie Underwood,2929895,https://i.scdn.co/image/62faffbb746b291b594a8a82cdc1e720790c19bc,https://i.scdn.co/image/7726530de2db2bc5192d50a6dde5bc74f757f8c6,75,193333,0.226,https://api.spotify.com/v1/audio-analysis/67citk3uzWs5qbaIVKTeg8,0.575,193333,0.844,67citk3uzWs5qbaIVKTeg8,0.0,3,0.0538,-1.772,0,0.0633,87.007,4,https://api.spotify.com/v1/tracks/67citk3uzWs5qbaIVKTeg8,audio_features,spotify:track:67citk3uzWs5qbaIVKTeg8,0.542,378,172,64,2015-10-23,2015,67citk3uzWs5qbaIVKTeg8,Church Bells,Church Bells,1
https://i.scdn.co/image/34a4c36f6d279725be6cc9d16261964bb0be3dc7,Keith Urban,2789759,https://i.scdn.co/image/9f6764ae24c86eff6ca952005771ed721fa4005d,https://i.scdn.co/image/87b8b7de977e5f267da5311f7d3ab6d8d157c98f,75,230600,0.606,https://api.spotify.com/v1/audio-analysis/6wycnu8FWXsj68ig7BEot9,0.686,230600,0.417,6wycnu8FWXsj68ig7BEot9,1.79e-06,7,0.0844,-7.787,1,0.0363,82.407,3,https://api.spotify.com/v1/tracks/6wycnu8FWXsj68ig7BEot9,audio_features,spotify:track:6wycnu8FWXsj68ig7BEot9,0.451,358,148,69,2016-05-06,2016,6wycnu8FWXsj68ig7BEot9,Blue Ain't Your Color,Blue Ain't Your Color,1
https://i.scdn.co/image/87b6820c1eedc35bde97d413b1fdd3ecdb3fc4d3,Brandy Clark,26618,https://i.scdn.co/image/18b1c3cb184b34e79148150ea26bf6231db99774,https://i.scdn.co/image/215fe9186e8c99da5d1df858b122af0da4b4eaaa,40,237880,0.21,https://api.spotify.com/v1/audio-analysis/68bh9PGm0UQRRxUNRRnZPl,0.6,237880,0.834,68bh9PGm0UQRRxUNRRnZPl,0.000567,0,0.105,-5.262,1,0.0306,147.965,4,https://api.spotify.com/v1/tracks/68bh9PGm0UQRRxUNRRnZPl,audio_features,spotify:track:68bh9PGm0UQRRxUNRRnZPl,0.399,334,108,34,2016-06-10,2016,68bh9PGm0UQRRxUNRRnZPl,Love Can Go to Hell,Love Can Go to Hell,1
https://i.scdn.co/image/04ff24682bc24c49708307586bc30b3431aa6988,Thomas Rhett,2244229,https://i.scdn.co/image/e36feb919242453d6e178d26ba15938031bc0572,https://i.scdn.co/image/fcd9098a39d5474047ae7f70fabeb4abe4e9ec2a,78,227426,0.381,https://api.spotify.com/v1/audio-analysis/5kNe7PE09d6Kvw5pAsx23n,0.66,227427,0.383,5kNe7PE09d6Kvw5pAsx23n,0.0,2,0.119,-9.377,1,0.0304,83.096,4,https://api.spotify.com/v1/tracks/5kNe7PE09d6Kvw5pAsx23n,audio_features,spotify:track:5kNe7PE09d6Kvw5pAsx23n,0.381,369,139,73,2015-09-25,2015,5kNe7PE09d6Kvw5pAsx23n,Die a Happy Man,Die A Happy Man,1
https://i.scdn.co/image/459526962e66a3b276dbf621bf6012d25e5faf08,RKCB,44114,https://i.scdn.co/image/0bc386903a2652efa90951c70f04a8d83d2fe02d,https://i.scdn.co/image/057856b083622218f0081b7a09b2d15ee6496c3d,68,183302,0.0816,https://api.spotify.com/v1/audio-analysis/1yNola6EgzE6yd8bX779Gi,0.651,183303,0.681,1yNola6EgzE6yd8bX779Gi,0.000363,4,0.246,-6.736,0,0.18,108.893,4,https://api.spotify.com/v1/tracks/1yNola6EgzE6yd8bX779Gi,audio_features,spotify:track:1yNola6EgzE6yd8bX779Gi,0.408,250,99,64,2017-06-23,2017,1yNola6EgzE6yd8bX779Gi,Vice,Vice,1
https://i.scdn.co/image/a1fb4680b00ae0c513f90402a073900871f77e5f,Tim McGraw,2499435,https://i.scdn.co/image/182f7c7acf0f4df5e5cb8043c9afed0d4bdf581e,https://i.scdn.co/image/4305d7ba3dbfaecb828692192efb947369db4541,75,259266,0.679,https://api.spotify.com/v1/audio-analysis/4Pn0JlCUusD2QHjADuOzuV,0.355,259267,0.48,4Pn0JlCUusD2QHjADuOzuV,2.28e-06,11,0.12,-7.31,1,0.0282,100.956,3,https://api.spotify.com/v1/tracks/4Pn0JlCUusD2QHjADuOzuV,audio_features,spotify:track:4Pn0JlCUusD2QHjADuOzuV,0.137,325,133,66,2015-01-01,2015,4Pn0JlCUusD2QHjADuOzuV,Humble and Kind,Humble And Kind,1
https://i.scdn.co/image/77469465db1f618941285359fc3596601859566b,Mark Ronson,453286,https://i.scdn.co/image/d9680a04b79654c0aceb54af40acd753f1538b7f,https://i.scdn.co/image/e035785eb4e48a531d8acce06c485efd55c0a063,81,269666,0.00801,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,0.856,269667,0.609,32OlwWuMpZ6b0aN2RZOeMS,8.15e-05,0,0.0344,-7.223,1,0.0824,114.988,4,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.928,638,156,80,2015-01-12,2015,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,Uptown Funk,1
https://i.scdn.co/image/32aa1fd4f61e0e8e089ff2f95632f2463231d5b1,Taylor Swift,16379586,https://i.scdn.co/image/33bc9128ad82f7d39847b6db6a49d5416502e7e7,https://i.scdn.co/image/cec43c2fb746ea2a0c7546aa3408fe2f94887fe4,89,231826,0.085,https://api.spotify.com/v1/audio-analysis/1p80LdxRV74UKvL8gnD7ky,0.752,231827,0.678,1p80LdxRV74UKvL8gnD7ky,1.64e-06,5,0.13,-5.421,1,0.0646,96.009,4,https://api.spotify.com/v1/tracks/1p80LdxRV74UKvL8gnD7ky,audio_features,spotify:track:1p80LdxRV74UKvL8gnD7ky,0.583,620,196,69,2014-10-27,2014,1p80LdxRV74UKvL8gnD7ky,Blank Space,Blank Space,1
https://i.scdn.co/image/b9dfa7a7a3f69a3869f6fbb77041822f5a76226d,The Weeknd,13472675,https://i.scdn.co/image/6f594793615650a9a6964bd523ef6977ccaaae85,https://i.scdn.co/image/df9086189e64ad3f3dec425f53b0c5f595a787b5,90,213520,0.112,https://api.spotify.com/v1/audio-analysis/22VdIZQfgXJea34mQxlt81,0.705,213520,0.769,22VdIZQfgXJea34mQxlt81,0.0,9,0.105,-5.526,0,0.0426,107.939,4,https://api.spotify.com/v1/tracks/22VdIZQfgXJea34mQxlt81,audio_features,spotify:track:22VdIZQfgXJea34mQxlt81,0.59,473,78,79,2015-08-28,2015,22VdIZQfgXJea34mQxlt81,Can't Feel My Face,Can't Feel My Face,1
