album_url,artist,artist_followers,artist_image_url_l,artist_image_url_s,artist_popularity,duration_ms,features.acousticness,features.analysis_url,features.danceability,features.duration_ms,features.energy,features.id,features.instrumentalness,features.key,features.liveness,features.loudness,features.mode,features.speechiness,features.tempo,features.time_signature,features.track_href,features.type,features.uri,features.valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track
https://i.scdn.co/image/f1bed2a50aea28b91592c2f26a1c84311a96d152,Selena Gomez,12449729,https://i.scdn.co/image/e43762cfe18b294496158601b1ed18f3fee1158d,https://i.scdn.co/image/07ddb6297cd68710190d0d6956ed32264c713e03,91,207904,0.0945,https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW,0.601,207905,0.724,4hQ6UGyWQIGJmHSo0J88JW,1.68E-06,6,0.12,-4.856,1,0.0486,102.061,4,https://api.spotify.com/v1/tracks/4hQ6UGyWQIGJmHSo0J88JW,audio_features,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,0.508,13871,5251,85,5/10/18,2018,4hQ6UGyWQIGJmHSo0J88JW,Back To You,Back To You - From 13 Reasons Why – Season 2 Soundtrack
https://i.scdn.co/image/6d27b4ab01b5f52ad8a4ed1b56422c6c7f71fcf2,Ed Sheeran,36400307,https://i.scdn.co/image/f39b705ba6b1070c77bce4e9c21dff5bac96f21c,https://i.scdn.co/image/e21f791b600f04f9dd8ad2b6d9b3304a82e048ca,93,259550,0.779,https://api.spotify.com/v1/audio-analysis/1bhUWB0zJMIKr9yVPrkEuI,0.587,259550,0.299,1bhUWB0zJMIKr9yVPrkEuI,0,8,0.123,-7.365,1,0.0263,94.992,3,https://api.spotify.com/v1/tracks/1bhUWB0zJMIKr9yVPrkEuI,audio_features,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,0.356,374,153,83,11/30/17,2017,1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet,Perfect Duet (Ed Sheeran & Beyoncé)
https://i.scdn.co/image/05cf2f8b56e595bcbf50fccb894f5fb6c2427750,Kanye West,8798291,https://i.scdn.co/image/e36258fefdac3bef70bbfa6eca6cb5ecf9f22cea,https://i.scdn.co/image/42119cbcb4d694e7f0fe4a6d684fbc63902a916d,92,145506,0.123,https://api.spotify.com/v1/audio-analysis/3U21A07gAloCc4P7J8rxcn,0.925,145507,0.31,3U21A07gAloCc4P7J8rxcn,0,11,0.0931,-6.531,0,0.291,121.927,4,https://api.spotify.com/v1/tracks/3U21A07gAloCc4P7J8rxcn,audio_features,spotify:track:3U21A07gAloCc4P7J8rxcn,0.291,498,194,74,6/1/18,2018,3U21A07gAloCc4P7J8rxcn,All Mine,All Mine
https://i.scdn.co/image/6551a8020903d95cb2ed59c4b794eb3d077458fa,Kenny Chesney,2185828,https://i.scdn.co/image/34ca95b359af97ca756c972559d6264ebaceebac,https://i.scdn.co/image/a8e5e96d81dea16b8913dd64b163505452bf8c2a,75,199626,0.0997,https://api.spotify.com/v1/audio-analysis/2ZFrEp20VO25BXYhMxh0GW,0.602,199627,0.805,2ZFrEp20VO25BXYhMxh0GW,0,7,0.172,-6.079,1,0.0473,92.401,4,https://api.spotify.com/v1/tracks/2ZFrEp20VO25BXYhMxh0GW,audio_features,spotify:track:2ZFrEp20VO25BXYhMxh0GW,0.322,366,128,69,4/6/18,2018,2ZFrEp20VO25BXYhMxh0GW,Get Along,Get Along
https://i.scdn.co/image/93f18e6d004105e67704776e3eb7a910777c58db,Dan + Shay,622984,https://i.scdn.co/image/beab9f3f0ff2aff939a922e34450289172e41c67,https://i.scdn.co/image/11b8db84cf4ac0cae5d4e9596db70ac8c82cfcae,78,195986,0.0292,https://api.spotify.com/v1/audio-analysis/7Il2yWQmsqKgSkLQvHTPUI,0.474,195987,0.594,7Il2yWQmsqKgSkLQvHTPUI,0,11,0.133,-5.756,1,0.0289,86.131,4,https://api.spotify.com/v1/tracks/7Il2yWQmsqKgSkLQvHTPUI,audio_features,spotify:track:7Il2yWQmsqKgSkLQvHTPUI,0.503,329,105,77,1/10/18,2018,7Il2yWQmsqKgSkLQvHTPUI,Tequila,Tequila
https://i.scdn.co/image/9ce966181dc62801ff44ac89f8c9c1921ab9302f,Maroon 5,14450105,https://i.scdn.co/image/34760086fe6f4e6f8121fe00aa4901ace216b268,https://i.scdn.co/image/a6b50b62941f169aea7a48039a509f643c8c69e3,90,190642,0.0959,https://api.spotify.com/v1/audio-analysis/6AvfZXpbb6r35DfF7gHPRq,0.655,190643,0.603,6AvfZXpbb6r35DfF7gHPRq,0,8,0.107,-5.014,1,0.0555,126.088,4,https://api.spotify.com/v1/tracks/6AvfZXpbb6r35DfF7gHPRq,audio_features,spotify:track:6AvfZXpbb6r35DfF7gHPRq,0.452,473,110,71,6/15/18,2018,6AvfZXpbb6r35DfF7gHPRq,Wait,Wait
https://i.scdn.co/image/05cf2f8b56e595bcbf50fccb894f5fb6c2427750,Kanye West,8798292,https://i.scdn.co/image/e36258fefdac3bef70bbfa6eca6cb5ecf9f22cea,https://i.scdn.co/image/42119cbcb4d694e7f0fe4a6d684fbc63902a916d,92,274186,0.867,https://api.spotify.com/v1/audio-analysis/0yhxBvedRdGxsPZHJNI4VA,0.752,274187,0.396,0yhxBvedRdGxsPZHJNI4VA,0,2,0.0486,-7.932,1,0.411,116.016,4,https://api.spotify.com/v1/tracks/0yhxBvedRdGxsPZHJNI4VA,audio_features,spotify:track:0yhxBvedRdGxsPZHJNI4VA,0.417,699,265,62,6/1/18,2018,0yhxBvedRdGxsPZHJNI4VA,I Thought About Killing You,I Thought About Killing You
https://i.scdn.co/image/05cf2f8b56e595bcbf50fccb894f5fb6c2427750,Kanye West,8798294,https://i.scdn.co/image/e36258fefdac3bef70bbfa6eca6cb5ecf9f22cea,https://i.scdn.co/image/42119cbcb4d694e7f0fe4a6d684fbc63902a916d,92,123040,0.0393,https://api.spotify.com/v1/audio-analysis/35KV2Nuib6jPMVN00O8iba,0.643,123040,0.646,35KV2Nuib6jPMVN00O8iba,0,10,0.109,-2.442,0,0.0629,80.174,4,https://api.spotify.com/v1/tracks/35KV2Nuib6jPMVN00O8iba,audio_features,spotify:track:35KV2Nuib6jPMVN00O8iba,0.35,347,135,62,6/1/18,2018,35KV2Nuib6jPMVN00O8iba,No Mistakes,No Mistakes
https://i.scdn.co/image/142eccafbd4305f6d4325832076527f8d50d50ef,Post Malone,8894702,https://i.scdn.co/image/d6e77d06a98dae03be57cff1e3e0980ba66b24a9,https://i.scdn.co/image/c7384d9a531d912fa413c6cc5b6f755824881b2c,96,227533,0.627,https://api.spotify.com/v1/audio-analysis/32lItqlMi4LBhb4k0BaSaC,0.67,227533,0.654,32lItqlMi4LBhb4k0BaSaC,1.02E-06,4,0.071,-5.944,1,0.153,180.024,4,https://api.spotify.com/v1/tracks/32lItqlMi4LBhb4k0BaSaC,audio_features,spotify:track:32lItqlMi4LBhb4k0BaSaC,0.438,756,199,82,4/27/18,2018,32lItqlMi4LBhb4k0BaSaC,Candy Paint,Candy Paint
https://i.scdn.co/image/12d81cd3b4920c9aae5b3e1d244850fceb5a647f,J. Cole,6799709,https://i.scdn.co/image/6c27976d222131de69da808b86c19c78859c1be0,https://i.scdn.co/image/df0424ed9e3fd02f3c5a98dedd4307adb3df4eb3,88,315771,0.19,https://api.spotify.com/v1/audio-analysis/5sWbwccBcyHsg5LEKWGZo9,0.675,315771,0.567,5sWbwccBcyHsg5LEKWGZo9,1.77E-06,10,0.175,-9.147,0,0.263,84.039,4,https://api.spotify.com/v1/tracks/5sWbwccBcyHsg5LEKWGZo9,audio_features,spotify:track:5sWbwccBcyHsg5LEKWGZo9,0.658,960,382,66,4/20/18,2018,5sWbwccBcyHsg5LEKWGZo9,Brackets,BRACKETS
https://i.scdn.co/image/12d81cd3b4920c9aae5b3e1d244850fceb5a647f,J. Cole,6799709,https://i.scdn.co/image/6c27976d222131de69da808b86c19c78859c1be0,https://i.scdn.co/image/df0424ed9e3fd02f3c5a98dedd4307adb3df4eb3,88,197821,0.626,https://api.spotify.com/v1/audio-analysis/0Px86mRlxdB3YqpK6KXWlr,0.548,197822,0.472,0Px86mRlxdB3YqpK6KXWlr,0,8,0.119,-8.343,1,0.477,82.36,4,https://api.spotify.com/v1/tracks/0Px86mRlxdB3YqpK6KXWlr,audio_features,spotify:track:0Px86mRlxdB3YqpK6KXWlr,0.138,584,290,64,4/20/18,2018,0Px86mRlxdB3YqpK6KXWlr,Once An Addict (Interlude),Once an Addict - Interlude
https://i.scdn.co/image/12d81cd3b4920c9aae5b3e1d244850fceb5a647f,J. Cole,6799709,https://i.scdn.co/image/6c27976d222131de69da808b86c19c78859c1be0,https://i.scdn.co/image/df0424ed9e3fd02f3c5a98dedd4307adb3df4eb3,88,286729,0.0607,https://api.spotify.com/v1/audio-analysis/5Lgqu1th1KqlG97OF2gWGe,0.72,286730,0.626,5Lgqu1th1KqlG97OF2gWGe,0,8,0.0728,-9.351,1,0.397,75.032,4,https://api.spotify.com/v1/tracks/5Lgqu1th1KqlG97OF2gWGe,audio_features,spotify:track:5Lgqu1th1KqlG97OF2gWGe,0.182,907,332,67,4/20/18,2018,5Lgqu1th1KqlG97OF2gWGe,Window Pain (Outro),Window Pain - Outro
https://i.scdn.co/image/ab931dcab6995474e2f4835c09e4457eaf0d85e8,Charlie Puth,5814338,https://i.scdn.co/image/8f52b60917a1ca706ab676970259f6504fcb7b2c,https://i.scdn.co/image/b2a440211104532feac76903bb8806bced248510,84,200853,0.211,https://api.spotify.com/v1/audio-analysis/6wmAHw1szh5RCKSRjiXhPe,0.845,200853,0.561,6wmAHw1szh5RCKSRjiXhPe,3.49E-06,1,0.0383,-5.253,0,0.0778,109.974,4,https://api.spotify.com/v1/tracks/6wmAHw1szh5RCKSRjiXhPe,audio_features,spotify:track:6wmAHw1szh5RCKSRjiXhPe,0.811,463,122,78,5/11/18,2018,6wmAHw1szh5RCKSRjiXhPe,How Long,How Long
https://i.scdn.co/image/ab931dcab6995474e2f4835c09e4457eaf0d85e8,Charlie Puth,5814341,https://i.scdn.co/image/8f52b60917a1ca706ab676970259f6504fcb7b2c,https://i.scdn.co/image/b2a440211104532feac76903bb8806bced248510,84,208786,0.109,https://api.spotify.com/v1/audio-analysis/5cF0dROlMOK5uNZtivgu50,0.775,208787,0.613,5cF0dROlMOK5uNZtivgu50,2.33E-05,3,0.134,-4.586,0,0.0542,100.066,4,https://api.spotify.com/v1/tracks/5cF0dROlMOK5uNZtivgu50,audio_features,spotify:track:5cF0dROlMOK5uNZtivgu50,0.797,649,125,82,5/11/18,2018,5cF0dROlMOK5uNZtivgu50,Attention,Attention
