album_url,artist,artist_followers,artist_image_url_l,artist_image_url_s,artist_popularity,duration_ms,features.acousticness,features.analysis_url,features.danceability,features.duration_ms,features.energy,features.id,features.instrumentalness,features.key,features.liveness,features.loudness,features.mode,features.speechiness,features.tempo,features.time_signature,features.track_href,features.type,features.uri,features.valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track,win/loss
https://i.scdn.co/image/be41af2ac36aeb3f8019d06971e486a932159726,Ozuna,12806978,https://i.scdn.co/image/a9198e2ed3039f11d25c8068f8504f28acc8696d,https://i.scdn.co/image/fc712eaffbed83f15962e0ed98a2e6145492a8e5,97,226800,0.165,https://api.spotify.com/v1/audio-analysis/5Y9fnynLlIvqtM710MHzfz,0.855,226800,0.664,5Y9fnynLlIvqtM710MHzfz,3.97E-05,9,0.0937,-7.11,0,0.0607,98.015,4,https://api.spotify.com/v1/tracks/5Y9fnynLlIvqtM710MHzfz,audio_features,spotify:track:5Y9fnynLlIvqtM710MHzfz,0.626,566,160,80,8/25/17,2017,5Y9fnynLlIvqtM710MHzfz,Bailando,Síguelo Bailando,0
https://i.scdn.co/image/b081c48efb807fa1b448c5671d96323d6ae30665,Kygo,3970389,https://i.scdn.co/image/60d18612c09315ecd91b38997a69ccab25863fb6,https://i.scdn.co/image/4d530661a929ae7eaddc8fb94e45dd7376f00bd6,88,220780,0.119,https://api.spotify.com/v1/audio-analysis/12GEpg2XOPyqk03JZEZnJs,0.64,220781,0.533,12GEpg2XOPyqk03JZEZnJs,0,0,0.0864,-6.596,1,0.0706,99.968,4,https://api.spotify.com/v1/tracks/12GEpg2XOPyqk03JZEZnJs,audio_features,spotify:track:12GEpg2XOPyqk03JZEZnJs,0.515,552,116,70,2/17/17,2017,12GEpg2XOPyqk03JZEZnJs,It Ain't Me,It Ain’t Me (with Selena Gomez),0
https://i.scdn.co/image/974010663ebd1e267ac11de88e07647eefbfa19d,Drake,29655003,https://i.scdn.co/image/ad10179d5f27ba77c7d6c95abd6e26f6a227e0d5,https://i.scdn.co/image/55e3fb26d67b4d71321440b3a440eecd9d8f20f7,100,210937,0.108,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,0.927,210937,0.488,343YBumqHu19cGoGARUTsd,0,9,0.196,-9.433,0,0.42,133.987,4,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,audio_features,spotify:track:343YBumqHu19cGoGARUTsd,0.605,551,124,76,3/18/17,2017,343YBumqHu19cGoGARUTsd,Fake Love,Fake Love,0
https://i.scdn.co/image/afc94d1d4b72d8c2d81660131e53f36ea92affda,Michael Jackson,7682703,https://i.scdn.co/image/4ba613bd55b4954a027377b70b8c6d48639fd70b,https://i.scdn.co/image/2e6f35b90c131c137669d06e3c36b1a5d3172864,86,358053,0.0816,https://api.spotify.com/v1/audio-analysis/7azo4rpSUh8nXgtonC6Pkq,0.764,358053,0.887,7azo4rpSUh8nXgtonC6Pkq,0.000108,11,0.847,-3.725,1,0.0738,118.421,4,https://api.spotify.com/v1/tracks/7azo4rpSUh8nXgtonC6Pkq,audio_features,spotify:track:7azo4rpSUh8nXgtonC6Pkq,0.721,551,237,71,9/27/17,2017,7azo4rpSUh8nXgtonC6Pkq,Thriller,Thriller,0
https://i.scdn.co/image/bf682c1cdbd803cccb2cecbc1f64342ec25efd7f,Zara Larsson,3828459,https://i.scdn.co/image/7451ff746492192208dd1ccf38ddab9600aef7fe,https://i.scdn.co/image/0be4cf47a6840b94a627dd4f3f949522560ef23c,84,201122,0.133,https://api.spotify.com/v1/audio-analysis/1rIKgCH4H52lrvDcz50hS8,0.694,201122,0.712,1rIKgCH4H52lrvDcz50hS8,0,7,0.211,-3.923,0,0.046,98.022,4,https://api.spotify.com/v1/tracks/1rIKgCH4H52lrvDcz50hS8,audio_features,spotify:track:1rIKgCH4H52lrvDcz50hS8,0.799,546,125,78,3/17/17,2017,1rIKgCH4H52lrvDcz50hS8,Good Life,Lush Life,0
https://i.scdn.co/image/4064af24c17b5c9a6233080658f47333f3131fa2,Loud Luxury,49631,https://i.scdn.co/image/f23635d6b9589bbfe42955117c2c2e060501e8c5,https://i.scdn.co/image/f12223638361f93a704be84e87112649c36c778b,80,219855,0.0516,https://api.spotify.com/v1/audio-analysis/4mIgMODzoKcvBnHeehLctZ,0.745,219855,0.704,4mIgMODzoKcvBnHeehLctZ,0.000683,8,0.153,-7.306,0,0.042,124.02,4,https://api.spotify.com/v1/tracks/4mIgMODzoKcvBnHeehLctZ,audio_features,spotify:track:4mIgMODzoKcvBnHeehLctZ,0.393,535,214,63,2/3/17,2017,4mIgMODzoKcvBnHeehLctZ,Fill Me In,Fill Me In,0
https://i.scdn.co/image/ec591da2066d214553cf80f89eb342ee43d4611d,Bebe Rexha,2673250,https://i.scdn.co/image/798aedfd9fb3a1d0e565296150605637a1f7b86f,https://i.scdn.co/image/071144030ba143311e61491d7f35a12bc3068d4d,87,197253,0.0283,https://api.spotify.com/v1/audio-analysis/4ZJPwET9Jrgpkqi4Vo3Yg8,0.656,197253,0.615,4ZJPwET9Jrgpkqi4Vo3Yg8,0,5,0.234,-6.252,1,0.0539,139.91,4,https://api.spotify.com/v1/tracks/4ZJPwET9Jrgpkqi4Vo3Yg8,audio_features,spotify:track:4ZJPwET9Jrgpkqi4Vo3Yg8,0.366,512,120,68,2/16/17,2017,4ZJPwET9Jrgpkqi4Vo3Yg8,All Bad,Bad Bitch (feat. Ty Dolla $ign),0
https://i.scdn.co/image/b3ce3e6710a6a130608a02aa1592206669aff874,Hailee Steinfeld,3173751,https://i.scdn.co/image/f0109770407435a5d7ec8c7511df37b5f65e3937,https://i.scdn.co/image/cc34d42c17d82bdb87d6c35fccb2eb5ec030016d,82,204400,0.0485,https://api.spotify.com/v1/audio-analysis/10GJQkjRJcZhGTLagFOC62,0.76,204400,0.588,10GJQkjRJcZhGTLagFOC62,0,9,0.0847,-7.082,1,0.0775,102.974,4,https://api.spotify.com/v1/tracks/10GJQkjRJcZhGTLagFOC62,audio_features,spotify:track:10GJQkjRJcZhGTLagFOC62,0.384,511,114,77,4/28/17,2017,10GJQkjRJcZhGTLagFOC62,Most Girls,Most Girls,0
https://i.scdn.co/image/8af0421c7c00dc94f568125b8cc7022dafab62e0,Theory of a Deadman,879888,https://i.scdn.co/image/8244de5589d5ba21eb36c51a10519589fd8c4f0b,https://i.scdn.co/image/b023d52edc8d6c0870103c9d29eec99b35eaace4,70,233173,0.0133,https://api.spotify.com/v1/audio-analysis/2UZtI2HUyLRzqBjodvcUmY,0.639,233173,0.71,2UZtI2HUyLRzqBjodvcUmY,0,1,0.118,-7.445,1,0.0275,119.989,4,https://api.spotify.com/v1/tracks/2UZtI2HUyLRzqBjodvcUmY,audio_features,spotify:track:2UZtI2HUyLRzqBjodvcUmY,0.378,509,216,69,10/27/17,2017,2UZtI2HUyLRzqBjodvcUmY,Wake Up Call,Rx (Medicate),0
https://i.scdn.co/image/9f26166952f15b7a590d516ae10e88915f3badf4,Sam Smith,7359622,https://i.scdn.co/image/a75e3585bc7b453e6f768c02b977bd1f5a03ebad,https://i.scdn.co/image/997be88b275a7ed113d48c5ff9f50aa16445c2b1,90,201000,0.615,https://api.spotify.com/v1/audio-analysis/3VlbOrM6nYPprVvzBZllE5,0.661,201000,0.373,3VlbOrM6nYPprVvzBZllE5,0,5,0.177,-8.249,1,0.0505,91.5,4,https://api.spotify.com/v1/tracks/3VlbOrM6nYPprVvzBZllE5,audio_features,spotify:track:3VlbOrM6nYPprVvzBZllE5,0.523,500,99,78,11/3/17,2017,3VlbOrM6nYPprVvzBZllE5,Too Good,Too Good At Goodbyes,0
